County Name,Health Outcomes,Length of Life,Quality of Life,Health Factors,Health Behaviors,Clinical Care,Social & Economic Factors,Physical Environment,Year
St. Johns (SJ),1,3,1,1,6,2,1,52,2019
Collier (CO),2,1,2,3,1,12,23,9,2019
Martin (MA),3,10,3,7,7,15,13,29,2019
Seminole (SO),4,4,9,4,10,16,2,51,2019
Miami-Dade (DA),5,2,16,31,3,59,47,50,2019
Sarasota (SS),6,19,5,2,4,3,9,47,2019
Santa Rosa (SR),7,13,11,15,37,24,4,45,2019
Monroe (MO),8,28,4,11,12,34,10,7,2019
Flagler (FL),9,23,7,21,11,23,33,18,2019
Orange (OR),10,6,26,19,13,27,12,49,2019
Lee (LE),11,18,12,18,9,14,32,46,2019
Palm Beach (PB),12,14,15,5,5,6,18,30,2019
Wakulla (WK),13,22,10,35,51,42,7,66,2019
Broward (BW),14,8,27,17,8,30,14,59,2019
Leon (LO),15,5,32,14,32,5,8,64,2019
Clay (CL),16,21,13,13,35,20,6,34,2019
Walton (WT),17,16,23,37,41,43,24,54,2019
Liberty (LI),18,7,33,47,60,57,40,12,2019
Manatee (MN),19,30,8,20,15,22,26,17,2019
Sumter (ST),20,33,6,25,2,9,57,16,2019
Indian River (IR),21,17,25,16,17,7,31,3,2019
Okaloosa (OL),22,24,14,9,34,8,3,44,2019
Hillsborough (HB),23,15,29,24,20,28,15,41,2019
St. Lucie (SL),24,20,22,36,25,44,35,39,2019
Pinellas (PL),25,26,21,12,21,13,16,6,2019
Lake (LA),26,27,20,23,24,4,28,56,2019
Osceola (OS),27,9,49,30,19,47,20,67,2019
Charlotte (CH),28,29,18,10,14,11,19,8,2019
Hardee (HA),29,11,47,62,52,60,63,14,2019
Brevard (BV),30,36,17,22,18,21,21,31,2019
Alachua (AL),31,12,51,6,22,1,11,38,2019
Polk (PO),32,31,28,38,31,38,44,58,2019
Hendry (HE),33,32,30,64,36,65,67,11,2019
Gulf (GU),34,42,19,34,42,36,17,32,2019
Gilchrist (GI),35,25,38,42,48,58,25,5,2019
Nassau (NA),36,44,24,8,16,10,5,35,2019
Pasco (PA),37,35,36,28,38,29,27,25,2019
Highlands (HL),38,37,39,44,27,41,61,22,2019
Franklin (FR),39,41,35,45,53,45,43,53,2019
Hernando (HN),40,39,42,29,23,31,41,21,2019
Bay (BY),41,49,31,33,39,32,30,37,2019
Lafayette (LY),42,38,45,43,50,62,22,27,2019
DeSoto (DE),43,34,52,54,44,54,60,1,2019
Duval (DU),44,50,37,32,40,19,36,26,2019
Holmes (HM),45,40,50,55,47,35,56,57,2019
Volusia (VO),46,46,43,27,26,17,39,42,2019
Jefferson (JE),47,43,48,49,29,52,59,60,2019
Glades (GL),48,52,40,59,49,67,53,2,2019
Escambia (ES),49,53,44,26,30,25,34,40,2019
Baker (BA),50,45,54,39,55,33,29,33,2019
Washington (WG),51,57,46,52,56,53,45,62,2019
Marion (MR),52,59,41,40,33,18,51,43,2019
Okeechobee (OK),53,54,55,61,61,66,50,28,2019
Suwannee (SN),54,48,58,53,54,63,42,20,2019
Taylor (TA),55,55,56,51,57,40,52,10,2019
Citrus (CI),56,64,34,41,28,26,58,13,2019
Jackson (JS),57,56,60,56,63,39,48,63,2019
Calhoun (CA),58,63,53,50,45,61,46,23,2019
Columbia (CU),59,58,61,48,62,37,49,24,2019
Levy (LV),60,62,57,58,43,56,55,48,2019
Madison (MS),61,47,65,60,46,50,62,55,2019
Hamilton (HT),62,61,59,66,67,55,64,19,2019
Gadsden (GA),63,51,66,65,58,46,65,65,2019
Bradford (BF),64,65,62,46,59,48,38,36,2019
Dixie (DI),65,60,64,63,65,64,54,4,2019
Putnam (PN),66,66,67,67,64,49,66,61,2019
Union (UN),67,67,63,57,66,51,37,15,2019
St. Johns (SJ),1,4,1,1,6,2,1,54,2018
Collier (CO),2,1,2,3,1,21,13,6,2018
Martin (MA),3,11,3,4,7,6,11,28,2018
Seminole (SO),4,5,8,5,10,5,2,55,2018
Miami-Dade (DA),5,2,17,27,3,40,41,59,2018
Sarasota (SS),6,13,5,2,4,4,12,19,2018
Monroe (MO),7,31,4,9,14,39,7,5,2018
Palm Beach (PB),8,10,15,7,5,8,22,38,2018
Lafayette (LY),9,3,34,41,54,66,10,9,2018
Broward (BW),10,6,27,12,8,22,15,63,2018
Lee (LE),11,14,12,18,9,24,28,43,2018
Santa Rosa (SR),12,16,10,11,34,28,3,50,2018
Clay (CL),13,18,11,14,32,29,6,39,2018
Flagler (FL),14,28,6,15,12,19,23,15,2018
Orange (OR),15,7,28,19,13,23,18,48,2018
Leon (LO),16,9,30,13,29,11,8,56,2018
Manatee (MN),17,34,7,23,15,26,29,20,2018
Okaloosa (OL),18,22,14,10,30,20,4,44,2018
Sumter (ST),19,36,9,21,2,3,60,18,2018
Wakulla (WK),20,25,13,30,43,32,9,62,2018
Indian River (IR),21,20,23,22,16,15,37,3,2018
St. Lucie (SL),22,21,22,35,25,35,43,36,2018
Nassau (NA),23,24,19,8,17,17,5,57,2018
Lake (LA),24,26,20,24,21,12,21,51,2018
Hillsborough (HB),25,17,32,25,26,27,16,49,2018
Pinellas (PL),26,23,21,16,23,7,20,13,2018
Charlotte (CH),27,32,18,17,11,10,31,29,2018
Brevard (BV),28,35,16,20,19,9,24,32,2018
Walton (WT),29,27,25,36,38,51,14,67,2018
Osceola (OS),30,8,51,32,18,48,26,65,2018
Gulf (GU),31,39,24,42,46,45,30,12,2018
Hendry (HE),32,30,31,66,37,64,67,8,2018
Hardee (HA),33,15,46,62,52,61,65,11,2018
Alachua (AL),34,19,47,6,20,1,17,40,2018
Polk (PO),35,38,29,39,35,33,44,53,2018
Liberty (LI),36,33,35,51,59,57,45,7,2018
DeSoto (DE),37,12,53,59,48,60,61,2,2018
Pasco (PA),38,43,37,28,39,25,19,27,2018
Calhoun (CA),39,29,50,46,56,52,36,30,2018
Highlands (HL),40,40,43,43,28,34,58,22,2018
Jefferson (JE),41,41,45,45,31,49,54,46,2018
Duval (DU),42,47,38,33,41,13,32,60,2018
Franklin (FR),43,54,26,56,50,58,55,33,2018
